"","id","schid","tchid","tchexper","absent","readscore","mathscore","totalscore","boy","white_asian","black","tchwhite","tchmasters","freelunch","schurban","schrural","small","regular","aide"
"57",10763,169229,16922903,13,13,427,459,886,1,1,0,1,1,0,0,0,0,1,0
"58",10764,169280,16928002,13,0,461,536,997,1,1,0,1,1,0,0,0,0,1,0
"59",10766,180344,18034403,11,4,414,454,868,1,1,0,1,0,1,1,0,0,0,1
"60",10767,201449,20144904,7,2,451,547,998,1,1,0,1,1,1,0,1,0,0,1
"61",10783,257905,25790504,5,10,448,494,942,1,1,0,1,0,0,1,0,0,1,0
"62",10803,215533,21553306,0,74,393,418,811,1,1,0,1,0,1,0,1,0,1,0
"63",10817,244755,24475505,24,24,440,439,879,1,0,1,0,0,1,1,0,0,1,0
"64",10825,244818,24481802,10,10,407,449,856,0,0,1,0,1,1,1,0,1,0,0
"65",10857,201449,20144904,7,13,419,434,853,0,1,0,1,1,1,0,1,0,0,1
"66",10899,193422,19342201,9,8,443,459,902,0,1,0,1,0,1,0,1,0,0,1
"67",10935,169229,16922903,13,3,440,484,924,1,1,0,1,1,0,0,0,0,1,0
"68",10960,112038,11203803,17,5,390,444,834,1,1,0,1,0,1,1,0,0,0,1
"69",10961,112038,11203803,17,18,402,478,880,1,1,0,1,0,1,1,0,0,0,1
"70",10964,128068,12806802,1,12,407,454,861,0,1,0,1,0,1,0,1,0,1,0
"71",10969,166203,16620302,13,9,403,429,832,0,1,0,1,1,1,1,0,0,1,0
"72",10975,112038,11203802,6,3,408,429,837,1,1,0,1,1,1,1,0,0,1,0
"73",10984,189378,18937803,5,6,436,459,895,0,1,0,1,1,0,0,1,0,0,1
"74",10986,128079,12807902,8,14,422,418,840,0,1,0,1,0,1,0,1,0,0,1
"75",10987,205488,20548802,12,0,428,459,887,0,1,0,1,0,1,0,0,0,1,0
"76",10998,221571,22157105,7,8,398,384,782,0,0,1,1,0,1,0,1,0,0,1
"77",11004,215533,21553304,9,5,382,405,787,0,0,1,1,0,1,0,1,0,0,1
"78",11005,244839,24483901,1,11,450,602,1052,1,1,0,1,0,0,0,0,0,1,0
"79",11007,257899,25789905,12,0,431,489,920,0,1,0,1,1,1,0,1,0,0,1
"80",11013,228606,22860601,8,25,418,463,881,0,1,0,1,1,1,0,1,0,0,1
"81",11018,225585,22558503,13,8,421,500,921,1,1,0,0,0,0,0,1,0,1,0
"82",11025,189382,18938203,14,24,424,444,868,0,1,0,1,1,1,0,0,0,0,1
"83",11040,244764,24476401,1,12,413,468,881,0,0,1,0,0,1,1,0,0,0,1
"84",11046,112038,11203803,17,29,405,429,834,0,1,0,1,0,1,1,0,0,0,1
"85",11049,257905,25790505,14,39,418,434,852,1,1,0,1,0,1,1,0,0,0,1
"86",11050,128079,12807902,8,3,436,528,964,1,1,0,1,0,0,0,1,0,0,1
"87",11051,128068,12806803,11,3,448,489,937,1,1,0,1,0,1,0,1,0,0,1
"88",11052,225585,22558504,13,13,408,484,892,0,1,0,1,1,1,0,1,0,0,1
"89",11057,244776,24477607,7,55,431,473,904,0,0,1,1,1,1,1,0,0,1,0
"90",11058,244745,24474503,1,1,453,536,989,1,1,0,0,0,1,0,0,0,1,0
"91",11059,244736,24473603,6,14,425,500,925,1,0,1,1,0,1,1,0,1,0,0
"92",11066,128079,12807901,8,27,419,439,858,0,1,0,1,0,1,0,1,0,1,0
"93",11069,244774,24477405,6,19,428,439,867,1,0,1,0,0,1,1,0,0,1,0
"94",11077,169229,16922902,11,7,447,528,975,1,1,0,1,0,0,0,0,0,1,0
"95",11078,169229,16922902,11,3,398,439,837,0,1,0,1,0,0,0,0,0,1,0
"96",11086,244697,24469703,5,6,443,494,937,0,0,1,1,1,1,1,0,0,0,1
"97",11089,201449,20144902,12,8,428,489,917,1,1,0,1,1,1,0,1,0,0,1
"98",11090,244697,24469702,1,6,414,429,843,0,0,1,1,0,1,1,0,1,0,0
"99",11094,244801,24480102,5,0,436,506,942,0,1,0,1,0,0,0,0,1,0,0
"100",11099,191411,19141103,13,23,414,449,863,1,1,0,1,1,1,0,1,0,1,0
"101",11106,244780,24478002,10,11,440,559,999,0,0,1,0,0,1,1,0,0,1,0
"102",11117,208501,20850102,12,29,407,473,880,1,1,0,1,1,1,0,1,0,0,1
"103",11124,215533,21553302,15,3,437,506,943,1,0,1,1,1,1,0,1,0,1,0
"104",11128,201449,20144904,7,5,398,434,832,1,0,1,1,1,0,0,1,0,0,1
"105",11131,205492,20549204,3,18,408,449,857,1,1,0,1,0,1,0,0,1,0,0
"106",11140,244745,24474501,5,3,456,602,1058,1,1,0,0,0,1,0,0,0,0,1
"107",11144,218562,21856202,8,6,436,468,904,1,1,0,1,1,1,1,0,0,0,1
"108",11150,128076,12807603,7,36,403,489,892,1,1,0,1,0,1,0,0,0,0,1
"109",11151,203452,20345205,20,8,461,559,1020,1,1,0,1,0,0,0,1,0,1,0
"110",11152,205490,20549001,3,18,419,439,858,0,0,1,1,0,1,1,0,1,0,0
"111",11156,205488,20548802,12,10,433,444,877,1,1,0,1,0,1,0,0,0,1,0
"112",11157,252885,25288503,5,7,485,513,998,0,1,0,1,0,0,0,1,0,1,0
"113",11160,244755,24475507,3,21,458,602,1060,1,0,1,0,0,1,1,0,1,0,0
"114",11162,257899,25789904,12,2,405,429,834,1,1,0,1,1,1,0,1,0,1,0
"115",11170,112038,11203803,17,4,410,468,878,1,1,0,1,0,1,1,0,0,0,1
"116",11171,112038,11203802,6,7,408,449,857,0,0,1,1,1,1,1,0,0,1,0
"117",11176,128068,12806802,1,15,430,478,908,1,1,0,1,0,1,0,1,0,1,0
"118",11177,205490,20549003,12,1,433,494,927,1,0,1,1,0,1,1,0,0,1,0
"119",11178,205490,20549002,11,1,433,463,896,1,0,1,1,0,1,1,0,0,0,1
"120",11179,244776,24477606,10,1,450,468,918,1,0,1,0,1,1,1,0,0,0,1
"121",11184,234628,23462805,8,14,456,439,895,1,1,0,1,0,0,0,1,0,1,0
"122",11187,205492,20549204,3,9,436,484,920,0,0,1,1,0,0,0,0,1,0,0
"123",11193,205492,20549203,24,18,436,473,909,0,0,1,1,1,1,0,0,0,1,0
"124",11197,205488,20548802,12,12,458,576,1034,0,1,0,1,0,0,0,0,0,1,0
"125",11198,244755,24475501,11,16,405,478,883,1,0,1,1,0,1,1,0,0,1,0
"126",11200,205491,20549103,3,10,411,439,850,1,1,0,1,0,0,0,0,0,1,0
"127",11202,205490,20549002,11,16,410,439,849,0,0,1,1,0,1,1,0,0,0,1
"128",11203,205492,20549202,3,2,485,506,991,0,0,1,1,0,1,0,0,1,0,0
"129",11206,203452,20345205,20,17,460,602,1062,1,1,0,1,0,0,0,1,0,1,0
"130",11208,161183,16118304,10,12,453,528,981,0,1,0,1,1,1,0,1,0,0,1
"131",11210,128079,12807903,8,34,580,500,1080,0,1,0,1,0,0,0,1,1,0,0
"132",11211,161183,16118301,12,4,443,506,949,0,1,0,1,1,0,0,1,0,1,0
"133",11212,205488,20548803,4,1,495,559,1054,0,1,0,1,1,0,0,0,1,0,0
"134",11213,205490,20549003,12,8,403,418,821,0,0,1,1,0,1,1,0,0,1,0
"135",11214,203452,20345204,5,9,439,449,888,1,1,0,1,0,0,0,1,0,0,1
"136",11216,205492,20549203,24,16,434,528,962,0,0,1,1,1,1,0,0,0,1,0
"137",11217,180344,18034402,0,8,431,463,894,1,1,0,1,0,0,1,0,0,0,1
"138",11219,205491,20549104,17,15,431,429,860,0,1,0,1,0,1,0,0,0,0,1
"139",11220,161176,16117603,6,20,414,412,826,0,1,0,1,0,0,0,1,0,1,0
"140",11228,128068,12806801,12,21,418,473,891,0,1,0,1,1,1,0,1,1,0,0
"141",11234,231616,23161602,9,21,434,528,962,1,1,0,1,1,1,0,1,1,0,0
"142",11236,244806,24480606,10,2,428,463,891,1,0,1,0,0,1,1,0,0,0,1
"143",11255,205491,20549101,0,5,447,500,947,1,1,0,1,0,1,0,0,1,0,0
"144",11261,209510,20951004,10,2,407,412,819,1,1,0,1,0,0,0,1,1,0,0
"145",11267,193423,19342302,12,43,434,528,962,1,1,0,1,0,1,0,1,1,0,0
"146",11275,221571,22157105,7,12,388,412,800,1,1,0,1,0,1,0,1,0,0,1
"147",11285,244818,24481804,9,0,431,429,860,1,1,0,0,0,0,1,0,0,1,0
"148",11287,244801,24480102,5,17,393,418,811,1,0,1,1,0,1,0,0,1,0,0
"149",11291,169229,16922904,5,8,424,473,897,1,1,0,0,0,0,0,0,0,0,1
"150",11292,244708,24470804,3,10,397,489,886,1,0,1,0,0,1,1,0,0,1,0
"151",11294,244723,24472305,8,5,391,392,783,1,0,1,1,1,1,1,0,0,1,0
"152",11300,244780,24478003,2,3,485,559,1044,0,0,1,1,0,1,1,0,1,0,0
"153",11303,168211,16821102,27,10,442,454,896,0,1,0,1,0,0,0,1,0,0,1
"154",11305,252885,25288501,14,5,453,559,1012,0,1,0,1,1,1,0,1,1,0,0
"155",11308,244774,24477405,6,3,395,434,829,1,0,1,0,0,1,1,0,0,1,0
"156",11311,112038,11203801,12,4,413,454,867,1,1,0,1,1,1,1,0,1,0,0
"157",11315,244727,24472703,12,6,422,429,851,1,0,1,0,0,1,0,0,0,0,1
"158",11321,164198,16419803,4,11,390,429,819,1,1,0,1,1,0,0,1,0,1,0
"159",11323,234628,23462805,8,33,416,506,922,1,1,0,1,0,0,0,1,0,1,0
"160",11324,168211,16821103,15,11,403,444,847,1,1,0,1,1,0,0,1,1,0,0
"161",11328,169229,16922904,5,15,453,473,926,1,1,0,0,0,0,0,0,0,0,1
"162",11332,244745,24474502,14,12,434,489,923,0,1,0,0,1,0,0,0,1,0,0
"163",11334,244780,24478001,24,36,478,547,1025,0,0,1,1,1,1,1,0,0,0,1
"164",11346,244776,24477608,3,5,410,463,873,1,0,1,0,0,1,1,0,1,0,0
"165",11352,189382,18938203,14,7,436,459,895,0,1,0,1,1,0,0,0,0,0,1
"166",11354,244776,24477607,7,2,433,463,896,1,0,1,1,1,1,1,0,0,1,0
"167",11363,244801,24480103,8,17,421,506,927,1,0,1,0,0,1,0,0,0,0,1
"168",11365,205490,20549003,12,4,400,429,829,1,0,1,1,0,1,1,0,0,1,0
"169",11368,208501,20850104,5,10,405,439,844,1,1,0,1,0,1,0,1,1,0,0
"170",11369,193423,19342302,12,48,450,513,963,0,1,0,1,0,0,0,1,1,0,0
"171",11379,244801,24480101,0,9,422,547,969,0,1,0,1,0,0,0,0,0,1,0
"172",11382,228606,22860603,12,9,437,463,900,0,1,0,1,0,0,0,1,1,0,0
"173",11388,244727,24472702,4,5,421,506,927,0,0,1,1,0,0,0,0,0,1,0
"174",11389,244796,24479601,12,4,460,500,960,1,0,1,1,1,1,1,0,1,0,0
"175",11390,244736,24473602,0,27,416,468,884,0,0,1,1,0,1,1,0,0,1,0
"176",11391,244776,24477601,6,3,421,506,927,1,0,1,1,1,1,1,0,1,0,0
"177",11392,244818,24481804,9,4,428,489,917,0,1,0,0,0,0,1,0,0,1,0
"178",11393,244746,24474603,5,7,463,536,999,1,0,1,1,0,1,1,0,1,0,0
"179",11394,244774,24477402,6,13,414,478,892,1,0,1,0,0,1,1,0,1,0,0
"180",11397,244727,24472701,21,0,450,536,986,0,0,1,1,0,0,0,0,1,0,0
"181",11398,244697,24469704,22,4,424,429,853,1,0,1,1,1,1,1,0,0,0,1
"182",11400,244727,24472704,1,14,448,473,921,0,0,1,0,0,0,0,0,0,0,1
"183",11401,244755,24475507,3,1,503,576,1079,0,0,1,0,0,1,1,0,1,0,0
"184",11402,244774,24477403,1,4,440,536,976,1,0,1,1,0,1,1,0,0,0,1
"185",11403,244806,24480605,6,3,470,463,933,0,0,1,0,0,1,1,0,0,1,0
"186",11404,244697,24469704,22,6,433,468,901,1,0,1,1,1,1,1,0,0,0,1
"187",11405,244697,24469703,5,16,431,468,899,0,0,1,1,1,1,1,0,0,0,1
"188",11406,244755,24475506,16,7,424,459,883,0,0,1,0,0,1,1,0,0,0,1
"189",11407,244755,24475506,16,1,436,459,895,0,0,1,0,0,1,1,0,0,0,1
"190",11408,244746,24474601,17,34,442,444,886,1,0,1,1,1,1,1,0,0,0,1
"191",11410,244755,24475503,9,21,434,506,940,1,0,1,0,0,1,1,0,1,0,0
"192",11411,244708,24470806,0,9,421,454,875,0,0,1,1,0,1,1,0,0,0,1
"193",11412,244818,24481802,10,1,465,520,985,0,0,1,0,1,0,1,0,1,0,0
"194",11413,244839,24483901,1,8,442,528,970,0,0,1,1,0,0,0,0,0,1,0
"195",11414,244708,24470803,2,1,388,429,817,0,0,1,1,0,1,1,0,0,1,0
"196",11415,244697,24469702,1,15,419,463,882,1,0,1,1,0,1,1,0,1,0,0
"197",11417,244697,24469704,22,8,410,459,869,0,0,1,1,1,1,1,0,0,0,1
"198",11418,244806,24480603,0,4,461,478,939,1,0,1,0,0,1,1,0,0,1,0
"199",11419,244801,24480101,0,6,443,500,943,0,1,0,1,0,0,0,0,0,1,0
"200",11420,244796,24479603,21,12,431,423,854,1,0,1,0,0,1,1,0,1,0,0
"201",11421,244839,24483903,20,0,490,602,1092,0,0,1,0,0,0,0,0,0,1,0
"202",11422,244708,24470803,2,4,388,405,793,1,0,1,1,0,1,1,0,0,1,0
"203",11423,244697,24469702,1,17,428,468,896,1,0,1,1,0,1,1,0,1,0,0
"204",11424,244697,24469704,22,3,416,439,855,1,0,1,1,1,1,1,0,0,0,1
"205",11425,244697,24469704,22,9,414,484,898,0,0,1,1,1,1,1,0,0,0,1
"206",11426,244746,24474603,5,16,425,439,864,1,0,1,1,0,1,1,0,1,0,0
"207",11428,244796,24479602,11,0,430,489,919,0,0,1,0,1,1,1,0,0,1,0
"208",11430,244799,24479902,13,5,433,506,939,0,0,1,1,0,0,0,0,1,0,0
"209",11432,244806,24480601,1,3,425,468,893,1,0,1,1,0,1,1,0,1,0,0
"210",11433,244796,24479602,11,1,419,468,887,1,0,1,0,1,1,1,0,0,1,0
"211",11436,244806,24480602,20,28,461,494,955,0,0,1,0,0,1,1,0,0,0,1
"212",11437,244755,24475504,1,28,434,500,934,1,0,1,0,0,1,1,0,0,1,0
"213",11438,244697,24469704,22,2,430,513,943,0,0,1,1,1,1,1,0,0,0,1
"214",11439,244708,24470801,14,2,442,506,948,1,0,1,1,0,1,1,0,1,0,0
"215",11440,244799,24479902,13,18,422,468,890,1,0,1,1,0,1,0,0,1,0,0
"216",11441,244723,24472304,6,17,400,429,829,1,0,1,1,0,1,1,0,0,0,1
"217",11442,244746,24474602,5,1,427,576,1003,0,0,1,1,0,0,1,0,0,1,0
"218",11443,244697,24469701,6,19,408,449,857,1,0,1,1,1,1,1,0,0,1,0
"219",11444,244801,24480104,20,23,443,489,932,0,0,1,1,1,0,0,0,1,0,0
"220",11445,244755,24475502,7,25,458,478,936,1,0,1,1,0,1,1,0,0,0,1
"221",11447,244745,24474503,1,NA,467,528,995,1,1,0,0,0,0,0,0,0,1,0
"222",11449,168214,16821402,6,3,442,520,962,1,1,0,1,1,0,0,1,0,0,1
"223",11451,244818,24481803,11,15,413,454,867,0,0,1,1,1,1,1,0,0,0,1
"224",11452,244839,24483903,20,0,480,602,1082,0,0,1,0,0,0,0,0,0,1,0
"225",11453,244801,24480103,8,13,448,528,976,1,1,0,0,0,0,0,0,0,0,1
"226",11454,244745,24474504,15,3,445,484,929,0,0,1,0,1,0,0,0,0,0,1
"227",11455,244776,24477607,7,10,439,513,952,0,0,1,1,1,1,1,0,0,1,0
"228",11457,244776,24477603,5,9,467,520,987,0,0,1,0,0,1,1,0,0,0,1
"229",11458,244801,24480102,5,11,445,500,945,0,1,0,1,0,0,0,0,1,0,0
"230",11459,244736,24473603,6,6,447,528,975,0,0,1,1,0,1,1,0,1,0,0
"231",11464,244746,24474601,17,9,447,459,906,0,0,1,1,1,1,1,0,0,0,1
"232",11467,244708,24470804,3,27,380,399,779,1,0,1,0,0,1,1,0,0,1,0
"233",11470,257899,25789902,13,2,405,484,889,1,1,0,1,1,1,0,1,1,0,0
"234",11471,244774,24477402,6,7,439,602,1041,0,0,1,0,0,1,1,0,1,0,0
"235",11473,244818,24481801,10,4,430,454,884,0,0,1,0,0,1,1,0,0,1,0
"236",11475,244723,24472301,17,42,419,454,873,0,0,1,1,1,1,1,0,0,0,1
"237",11476,244796,24479601,12,27,403,459,862,1,0,1,1,1,1,1,0,1,0,0
"238",11477,244727,24472704,1,2,433,500,933,0,0,1,0,0,1,0,0,0,0,1
"239",11478,244723,24472304,6,24,424,439,863,1,0,1,1,0,1,1,0,0,0,1
"240",11479,244746,24474602,5,10,397,434,831,1,0,1,1,0,1,1,0,0,1,0
"241",11480,244774,24477401,0,4,500,506,1006,1,0,1,1,0,1,1,0,0,0,1
"242",11481,244776,24477606,10,8,414,434,848,1,0,1,0,1,1,1,0,0,0,1
"243",11482,112038,11203801,12,23,402,429,831,1,1,0,1,1,1,1,0,1,0,0
"244",11484,244780,24478002,10,1,470,602,1072,1,0,1,0,0,1,1,0,0,1,0
"245",11487,244796,24479601,12,0,447,506,953,1,0,1,1,1,0,1,0,1,0,0
"246",11489,244723,24472304,6,NA,411,468,879,1,0,1,1,0,0,1,0,0,0,1
"247",11490,128076,12807603,7,11,411,449,860,1,1,0,1,0,1,0,0,0,0,1
"248",11491,244728,24472803,15,4,424,473,897,0,0,1,0,1,1,1,0,0,1,0
"249",11492,244776,24477606,10,1,474,478,952,0,0,1,0,1,1,1,0,0,0,1
"250",11493,244708,24470803,2,10,414,444,858,1,0,1,1,0,1,1,0,0,1,0
"251",11494,244774,24477403,1,8,395,434,829,1,0,1,1,0,1,1,0,0,0,1
"252",11495,244708,24470803,2,14,411,449,860,1,0,1,1,0,1,1,0,0,1,0
"253",11496,244697,24469705,14,13,461,454,915,0,0,1,0,0,1,1,0,1,0,0
"254",11497,244708,24470804,3,1,358,384,742,1,0,1,0,0,1,1,0,0,1,0
"255",11499,161176,16117603,6,27,414,449,863,1,1,0,1,0,1,0,1,0,1,0
"256",11501,244755,24475505,24,1,474,602,1076,0,0,1,0,0,0,1,0,0,1,0
"257",11503,244780,24478003,2,15,465,626,1091,0,0,1,1,0,0,1,0,1,0,0
"258",11504,244727,24472701,21,14,476,513,989,1,0,1,1,0,1,0,0,1,0,0
"259",11505,244708,24470801,14,12,411,439,850,1,0,1,1,0,1,1,0,1,0,0
"260",11506,123056,12305603,16,9,419,484,903,1,1,0,1,0,0,0,1,0,1,0
"261",11508,168214,16821403,16,1,439,500,939,1,1,0,1,0,0,0,1,0,1,0
"262",11513,244745,24474504,15,1,450,478,928,0,1,0,0,1,1,0,0,0,0,1
"263",11514,244806,24480605,6,3,450,576,1026,0,0,1,0,0,1,1,0,0,1,0
"264",11515,244697,24469704,22,3,397,423,820,0,0,1,1,1,1,1,0,0,0,1
"265",11516,244776,24477608,3,6,400,449,849,0,0,1,0,0,1,1,0,1,0,0
"266",11517,193422,19342203,11,10,424,473,897,0,1,0,1,0,1,0,1,0,1,0
"267",11519,244818,24481803,11,20,443,429,872,1,0,1,1,1,1,1,0,0,0,1
"268",11520,244799,24479904,6,0,430,468,898,0,0,1,1,0,1,0,0,0,1,0
"269",11521,244727,24472701,21,9,468,536,1004,1,0,1,1,0,0,0,0,1,0,0
"270",11526,244799,24479901,10,0,439,484,923,0,0,1,1,1,1,0,0,0,0,1
"271",11527,244799,24479904,6,6,410,489,899,1,0,1,1,0,1,0,0,0,1,0
"272",11530,244839,24483901,1,7,450,536,986,0,0,1,1,0,0,0,0,0,1,0
"273",11536,169219,16921901,14,25,418,473,891,0,1,0,1,0,1,0,0,1,0,0
"274",11537,201449,20144904,7,14,433,547,980,1,1,0,1,1,0,0,1,0,0,1
"275",11539,112038,11203801,12,8,402,439,841,1,0,1,1,1,1,1,0,1,0,0
"276",11540,180344,18034405,1,18,407,454,861,1,1,0,1,0,0,1,0,1,0,0
"277",11544,244796,24479601,12,6,428,478,906,0,0,1,1,1,1,1,0,1,0,0
"278",11545,189378,18937804,12,19,422,459,881,1,1,0,1,0,1,0,1,1,0,0
"279",11557,215533,21553305,4,22,405,473,878,1,1,0,1,0,1,0,1,1,0,0
"280",11559,216536,21653601,2,6,411,454,865,0,1,0,1,0,0,0,1,0,1,0
"281",11561,159171,15917103,10,15,467,489,956,1,1,0,1,0,1,0,1,0,1,0
"282",11567,244745,24474503,1,7,427,513,940,1,0,1,0,0,1,0,0,0,1,0
"283",11573,257899,25789905,12,51,414,484,898,1,1,0,1,1,1,0,1,0,0,1
"284",11576,189382,18938204,7,16,395,434,829,1,1,0,1,1,1,0,0,1,0,0
"285",11577,130085,13008501,22,24,430,468,898,1,1,0,1,1,1,0,0,0,1,0
"286",11587,264945,26494503,3,0,408,439,847,1,1,0,1,0,0,0,0,0,1,0
"287",11589,201449,20144906,7,0,421,449,870,1,0,1,1,0,1,0,1,1,0,0
"288",11591,264945,26494504,5,5,439,489,928,1,1,0,1,0,0,0,0,1,0,0
"289",11595,165199,16519903,12,4,507,559,1066,1,1,0,1,1,0,1,0,0,0,1
"290",11607,218562,21856204,0,8,455,576,1031,1,1,0,1,0,0,1,0,0,1,0
"291",11613,203452,20345203,19,13,391,444,835,0,1,0,1,0,0,0,1,1,0,0
"292",11616,205491,20549102,15,16,425,463,888,0,1,0,1,0,1,0,0,1,0,0
"293",11617,189382,18938202,15,14,405,418,823,1,1,0,1,0,1,0,0,0,1,0
"294",11620,208501,20850101,13,17,393,412,805,0,1,0,1,0,1,0,1,0,1,0
"295",11628,215533,21553306,0,13,395,489,884,1,0,1,1,0,1,0,1,0,1,0
"296",11630,215533,21553306,0,18,428,500,928,0,1,0,1,0,1,0,1,0,1,0
"297",11633,221574,22157401,1,13,424,463,887,1,1,0,1,0,0,0,1,1,0,0
"298",11634,228606,22860604,14,8,503,602,1105,1,1,0,1,0,0,0,1,1,0,0
"299",11637,244708,24470803,2,7,419,494,913,0,0,1,1,0,1,1,0,0,1,0
"300",11639,112038,11203802,6,21,402,429,831,1,1,0,1,1,1,1,0,0,1,0
"301",11640,228606,22860601,8,8,445,547,992,0,1,0,1,1,0,0,1,0,0,1
"302",11646,216536,21653605,1,8,433,463,896,0,1,0,1,0,1,0,1,0,1,0
"303",11647,253888,25388803,5,12,411,444,855,0,1,0,1,0,1,0,1,1,0,0
"304",11649,257899,25789901,13,24,408,473,881,1,1,0,1,1,1,0,1,0,1,0
"305",11651,228606,22860603,12,2,447,536,983,0,1,0,1,0,0,0,1,1,0,0
"306",11656,112038,11203803,17,5,400,444,844,1,0,1,1,0,1,1,0,0,0,1
